date_iso,timestamp_utc,price,block_height,days_ago,daily_dca_basis,weekly_dca_basis,monthly_dca_basis
2015-08-21,2015-08-21 23:50:00+00:00,233.0339053362,370938,3915,2585.9060759187,2568.8535902874,2423.0432914078
2015-08-22,2015-08-22 23:50:00+00:00,231.0864954707,371094,3914,2592.5940243223,2568.8535902874,2423.0432914078
2015-08-23,2015-08-23 23:50:00+00:00,228.8419084679,371229,3913,2599.3825445824,2568.8535902874,2423.0432914078
2015-08-24,2015-08-24 23:50:00+00:00,211.0402981202,371384,3912,2606.2839051715,2568.8535902874,2423.0432914078
2015-08-25,2015-08-25 23:50:00+00:00,223.1145210819,371520,3911,2613.8693378153,2568.8535902874,2423.0432914078
2015-08-26,2015-08-26 23:50:00+00:00,226.1075134092,371681,3910,2621.0523423283,2568.8535902874,2423.0432914078
2015-08-27,2015-08-27 23:50:00+00:00,225.5623705209,371816,3909,2628.1738005453,2568.8535902874,2423.0432914078
2015-08-28,2015-08-28 23:50:00+00:00,231.5200838783,371971,3908,2635.3567323799,2615.7571510403,2423.0432914078
2015-08-29,2015-08-29 23:50:00+00:00,230.1742717846,372132,3907,2642.3788476438,2615.7571510403,2423.0432914078
2015-08-30,2015-08-30 23:50:00+00:00,228.8670732205,372281,3906,2649.4874953918,2615.7571510403,2423.0432914078
2015-08-31,2015-08-31 23:50:00+00:00,230.5980910323,372439,3905,2656.6830136233,2615.7571510403,2423.0432914078
2015-09-01,2015-09-01 23:50:00+00:00,228.0608584855,372594,3904,2663.8618189312,2615.7571510403,2574.8695262237
2015-09-02,2015-09-02 23:50:00+00:00,229.3621245779,372754,3903,2671.1714297089,2615.7571510403,2574.8695262237
2015-09-03,2015-09-03 23:50:00+00:00,227.2399619314,372898,3902,2678.4793040583,2615.7571510403,2574.8695262237
2015-09-04,2015-09-04 23:50:00+00:00,231.2543033763,373055,3901,2685.9063468420,2664.9400368059,2574.8695262237
2015-09-05,2015-09-05 23:50:00+00:00,236.0671291026,373203,3900,2693.2364483851,2664.9400368059,2574.8695262237
2015-09-06,2015-09-06 23:50:00+00:00,240.6897683040,373347,3899,2700.4455601217,2664.9400368059,2574.8695262237
2015-09-07,2015-09-07 23:50:00+00:00,241.0214589080,373499,3898,2707.5440842809,2664.9400368059,2574.8695262237
2015-09-08,2015-09-08 23:50:00+00:00,244.2302820297,373633,3897,2714.6728852880,2664.9400368059,2574.8695262237
2015-09-09,2015-09-09 23:50:00+00:00,238.6469966939,373784,3896,2721.7393605501,2664.9400368059,2574.8695262237
2015-09-10,2015-09-10 23:50:00+00:00,238.6563137178,373953,3895,2729.0295308607,2664.9400368059,2574.8695262237
2015-09-11,2015-09-11 23:50:00+00:00,240.7280350705,374110,3894,2736.3623194327,2716.2605395702,2574.8695262237
2015-09-12,2015-09-12 23:50:00+00:00,235.3864008403,374248,3893,2743.6686873121,2716.2605395702,2574.8695262237
2015-09-13,2015-09-13 23:50:00+00:00,230.2314716350,374397,3892,2751.2012815949,2716.2605395702,2574.8695262237
2015-09-14,2015-09-14 23:50:00+00:00,230.6668198734,374551,3891,2758.9653252163,2716.2605395702,2574.8695262237
2015-09-15,2015-09-15 23:50:00+00:00,230.1831192440,374711,3890,2766.7612079234,2716.2605395702,2574.8695262237
2015-09-16,2015-09-16 23:50:00+00:00,229.2495574633,374853,3889,2774.6233494851,2716.2605395702,2574.8695262237
